trippoint_id,point_timestamp,latitude,longitude,category,speed,speed_limit,bearing,trip_id
7388867338,2015-11-14 17:56:40,41.973383,12.547633,5,62.0,40.0,46.0,1587131453
7367489142,2015-11-13 12:32:00,41.973366,12.547633,5,68.0,40.0,46.0,1582529079
7378432006,2015-11-13 14:31:08,41.973366,12.5476,5,132.0,40.0,120.0,1584971001
3092488882,2013-09-05 19:16:15,41.97335,12.547566,5,116.0,20.0,120.0,627258453
3079635566,2013-09-02 19:52:19,41.973366,12.54755,1,94.0,20.0,120.0,624100384
3184729479,2013-09-22 20:44:08,41.973433,12.54755,1,126.0,20.0,300.0,646758761
3165901184,2013-09-23 05:37:09,41.973416,12.547583,5,110.0,20.0,300.0,642441331
3174725064,2013-09-25 08:10:32,41.973417,12.547593,5,118.0,20.0,300.0,644476966
3090209714,2013-09-05 10:23:45,41.97335,12.547616,5,108.0,20.0,120.0,626432222
3120684653,2013-09-12 13:46:23,41.97335,12.547583,5,80.0,20.0,50.0,633265963
3100082943,2013-09-07 15:11:10,41.973366,12.547583,5,54.0,20.0,46.0,628454253
3104635522,2013-09-08 15:01:08,41.973433,12.547583,1,108.0,20.0,300.0,629025008
3128561232,2013-09-13 16:56:45,41.973416,12.547633,5,58.0,20.0,42.0,634356476
3161459700,2013-09-22 03:14:19,41.973383,12.547583,5,44.0,20.0,30.0,641644349
3078236134,2013-09-02 14:20:36,41.9734,12.547633,5,56.0,20.0,42.0,623461368
3175015926,2013-09-25 08:25:15,41.973446,12.547573,1,110.0,20.0,300.0,644536821
3151813651,2013-09-15 16:47:07,41.973445,12.547615,1,88.0,20.0,300.0,639416786
3156178303,2013-09-20 12:35:07,41.97335,12.5476,5,102.0,20.0,120.0,640360111
3179495229,2013-09-26 09:35:52,41.973432,12.547594,1,126.0,20.0,300.0,645562381
3153358302,2013-09-19 14:30:32,41.973433,12.547616,1,56.0,20.0,38.0,639735473
3184259531,2013-09-27 10:11:31,41.973366,12.547583,5,132.0,20.0,120.0,646913060
3092585942,2013-09-05 18:07:34,41.973366,12.5476,5,54.0,20.0,48.0,626550417
3103489552,2013-09-08 14:25:58,41.97335,12.547566,5,54.0,20.0,42.0,628848430
